type,time,latitude,longitude,altitude (ft),speed (kt),course,distance (nmi),distance_interval (ft),eos,color,name,desc
T,2014-07-03 22:46:05,41.867743721,-87.604858596,278.0,,,0.000,,,Cyan,2014-07-03 17:46:05 Auto,
T,2014-07-03 22:46:07,41.867711870,-87.604864379,289.0,3.5,187.7,0.002,11.71,,,,
T,2014-07-03 22:46:08,41.867726035,-87.604895476,298.5,5.9,301.5,0.004,9.92,,,,
T,2014-07-03 22:46:09,41.867737770,-87.604919951,309.5,4.7,302.8,0.005,7.92,,,,
T,2014-07-03 22:46:10,41.867748415,-87.604946857,320.6,4.9,298.0,0.006,8.29,,,,
T,2014-07-03 22:46:11,41.867740117,-87.604957670,331.6,2.5,224.1,0.007,4.22,,,,
T,2014-07-03 22:46:13,41.867720252,-87.604970746,349.0,2.4,206.1,0.008,8.07,,,,
T,2014-07-03 22:46:15,41.867677504,-87.604966303,366.3,4.6,175.6,0.011,15.62,,,,
T,2014-07-03 22:46:17,41.867648251,-87.604971081,382.1,3.2,186.9,0.013,10.74,,,,
T,2014-07-03 22:46:19,41.867602989,-87.604953814,404.2,5.1,164.1,0.015,17.15,,,,
T,2014-07-03 22:46:20,41.867580274,-87.604945265,404.2,5.1,164.3,0.017,8.60,,,,
T,2014-07-03 22:46:22,41.867544064,-87.604936883,418.3,4.0,170.2,0.019,13.39,,,,
T,2014-07-03 22:46:24,41.867506597,-87.604927663,431.0,4.1,169.6,0.021,13.88,,,,
T,2014-07-03 22:46:26,41.867460916,-87.604913916,442.0,5.1,167.4,0.024,17.06,,,,
T,2014-07-03 22:46:28,41.867454629,-87.604938056,453.1,2.1,250.7,0.025,6.96,,,,
T,2014-07-03 22:46:31,41.867405176,-87.604932608,467.2,3.6,175.3,0.028,18.08,,,,
T,2014-07-03 22:46:34,41.867335690,-87.604911653,479.9,5.1,167.3,0.033,25.96,,,,
T,2014-07-03 22:46:37,41.867267797,-87.604891537,490.9,5.0,167.6,0.037,25.34,,,,
T,2014-07-03 22:46:40,41.867206357,-87.604879048,501.9,4.5,171.4,0.040,22.65,,,,
T,2014-07-03 22:46:44,41.867129495,-87.604874857,517.7,4.2,177.7,0.045,28.03,,,,
T,2014-07-03 22:46:45,41.867109882,-87.604873264,516.1,4.2,176.5,0.046,7.16,,,,
T,2014-07-03 22:46:49,41.867026482,-87.604852812,527.2,4.6,169.7,0.051,30.90,,,,
T,2014-07-03 22:46:54,41.866936041,-87.604832193,536.6,4.0,170.4,0.057,33.43,,,,
T,2014-07-03 22:47:00,41.866822215,-87.604818028,547.7,4.1,174.7,0.064,41.66,,,,
T,2014-07-03 22:47:03,41.866768151,-87.604804700,552.4,4.0,169.6,0.067,20.03,,,,
