type,time,latitude,longitude,altitude (ft),speed (kt),course,distance (nmi),distance_interval (ft),eos,color,name,desc
T,2019-08-27 00:16:44,41.941980310,-87.645113273,675.4,,,0.000,,,Cyan,Current Track: 26 AUG 2019 19:16,
T,2019-08-27 00:16:45,41.941978801,-87.645112937,675.4,0.3,170.6,0.000,0.56,,,,
T,2019-08-27 00:16:49,41.941980058,-87.645114362,665.9,0.1,319.9,0.000,0.60,,,,
T,2019-08-27 00:17:03,41.941962205,-87.645114614,664.3,0.3,180.6,0.001,6.51,,,,
T,2019-08-27 00:17:24,41.941948710,-87.645117380,686.4,0.1,188.7,0.002,4.97,,,,
T,2019-08-27 00:17:25,41.941946698,-87.645118972,681.7,0.5,210.5,0.002,0.85,,,,
T,2019-08-27 00:17:31,41.941965139,-87.645138335,675.4,0.8,322.0,0.004,8.54,,,,
T,2019-08-27 00:28:36,41.942024147,-87.645025011,669.1,0.0,55.0,0.010,37.59,,,,
T,2019-08-27 00:28:58,41.942008892,-87.645175131,640.7,1.1,262.2,0.017,41.22,,,,
T,2019-08-27 00:28:59,41.942006378,-87.645176137,665.9,0.6,196.6,0.017,0.96,,,,
T,2019-08-27 00:29:06,41.941991542,-87.645175634,654.9,0.5,178.6,0.018,5.41,,,,
T,2019-08-27 00:29:11,41.942010317,-87.645170269,647.0,0.8,12.0,0.019,7.00,,,,
T,2019-08-27 00:29:27,41.942028589,-87.645195080,636.0,0.4,314.7,0.020,9.48,,,,
T,2019-08-27 00:30:00,41.942004953,-87.645176891,636.0,0.2,150.2,0.022,9.93,,,,
T,2019-08-27 00:30:32,41.942003276,-87.645183681,640.7,0.0,251.6,0.022,1.95,,,,
T,2019-08-27 00:30:56,41.942000929,-87.645188123,634.4,0.0,234.6,0.023,1.48,,,,
T,2019-08-27 00:31:20,41.942008305,-87.645203713,642.3,0.1,302.5,0.023,5.02,,,,
T,2019-08-27 00:31:29,41.942015179,-87.645209497,639.1,0.2,328.0,0.024,2.96,,,,
T,2019-08-27 00:32:01,41.942083491,-87.645257441,639.1,0.5,332.4,0.028,28.10,,,,
T,2019-08-27 00:32:37,41.942075864,-87.645248724,639.1,0.1,139.6,0.029,3.65,,,,
T,2019-08-27 00:33:01,41.942082150,-87.645243947,647.0,0.1,29.5,0.030,2.63,,,,
T,2019-08-27 00:33:32,41.942075528,-87.645237325,647.0,0.1,143.4,0.030,3.01,,,,
T,2019-08-27 00:33:54,41.942046695,-87.645206647,640.7,0.4,141.6,0.032,13.42,,,,
T,2019-08-27 00:33:59,41.942036971,-87.645200696,645.4,0.5,155.5,0.033,3.90,,,,
T,2019-08-27 00:34:01,41.942036217,-87.645200444,642.3,0.1,166.1,0.033,0.28,,,,
T,2019-08-27 00:34:29,41.942000929,-87.645182172,643.9,0.3,158.9,0.035,13.79,,,,
T,2019-08-27 00:35:01,41.941987099,-87.645168845,647.0,0.1,144.4,0.036,6.21,,,,
T,2019-08-27 00:35:34,41.941969329,-87.645198097,647.0,0.2,230.8,0.038,10.26,,,,
T,2019-08-27 00:36:07,41.941977376,-87.645201702,647.0,0.1,341.6,0.038,3.09,,,,
T,2019-08-27 00:36:44,41.941977711,-87.645200947,647.0,0.0,59.1,0.038,0.24,,,,
T,2019-08-27 00:37:30,41.941991290,-87.645202288,642.3,0.1,355.8,0.039,4.96,,,,
T,2019-08-27 00:37:32,41.941989697,-87.645202205,647.0,0.2,177.8,0.039,0.58,,,,
T,2019-08-27 00:38:10,41.941974191,-87.645198684,645.4,0.1,170.4,0.040,5.73,,,,
T,2019-08-27 00:38:53,41.942003947,-87.645210251,647.0,0.2,343.9,0.042,11.29,,,,
T,2019-08-27 00:39:23,41.941997325,-87.645204803,642.3,0.1,148.5,0.043,2.83,,,,
T,2019-08-27 00:40:00,41.941987854,-87.645171527,637.5,0.2,110.9,0.044,9.69,,,,
T,2019-08-27 00:40:30,41.941975197,-87.645210251,637.5,0.2,246.3,0.046,11.50,,,,
T,2019-08-27 00:40:37,41.941970503,-87.645214610,634.4,0.2,214.6,0.046,2.08,,,,
T,2019-08-27 00:41:23,41.941964216,-87.645222489,634.4,0.0,223.0,0.047,3.14,,,,
T,2019-08-27 00:42:06,41.941985758,-87.645201953,634.4,0.1,35.3,0.049,9.64,,,,
T,2019-08-27 00:42:42,41.942006545,-87.645231960,632.8,0.2,313.0,0.050,11.14,,,,
T,2019-08-27 00:43:18,41.942007719,-87.645211592,632.8,0.1,85.6,0.051,5.56,,,,
T,2019-08-27 00:43:23,41.942006964,-87.645207821,642.3,0.1,105.1,0.051,1.06,,,,
T,2019-08-27 00:43:59,41.942013083,-87.645164151,640.7,0.2,79.3,0.053,12.09,,,,
T,2019-08-27 00:44:30,41.942019872,-87.645174712,640.7,0.1,310.8,0.054,3.79,,,,
T,2019-08-27 00:45:05,41.942017525,-87.645167252,640.7,0.0,112.9,0.054,2.20,,,,
T,2019-08-27 00:45:38,41.942006545,-87.645238163,639.1,0.4,258.2,0.058,19.70,,,,
T,2019-08-27 00:45:57,41.941987267,-87.645218046,643.9,0.3,142.2,0.059,8.91,,,,
T,2019-08-27 00:45:59,41.941985758,-87.645218046,640.7,0.2,180.0,0.059,0.55,,,,
T,2019-08-27 00:46:35,41.941982573,-87.645219723,639.1,0.0,201.4,0.059,1.25,,,,
T,2019-08-27 00:46:44,41.941992715,-87.645220477,645.4,0.2,356.8,0.060,3.70,,,,
T,2019-08-27 00:47:20,41.942009563,-87.645214777,642.3,0.1,14.1,0.061,6.33,,,,
T,2019-08-27 00:47:50,41.941985842,-87.645246293,639.1,0.2,224.7,0.063,12.18,,,,
T,2019-08-27 00:47:56,41.941988776,-87.645247551,643.9,0.1,342.3,0.063,1.12,,,,
T,2019-08-27 00:48:17,41.941997325,-87.645230871,631.2,0.2,55.4,0.064,5.50,,,,
T,2019-08-27 00:48:18,41.941997157,-87.645232212,631.2,0.2,260.5,0.064,0.37,,,,
T,2019-08-27 00:48:46,41.941960026,-87.645245036,631.2,0.3,194.4,0.067,13.97,,,,
T,2019-08-27 00:49:19,41.941950638,-87.645245958,642.3,0.1,184.2,0.067,3.43,,,,
T,2019-08-27 00:49:20,41.941950638,-87.645244617,640.7,0.2,90.0,0.067,0.36,,,,
T,2019-08-27 00:49:22,41.941950722,-87.645243443,634.4,0.1,84.5,0.067,0.32,,,,
T,2019-08-27 00:49:45,41.941963462,-87.645240929,642.3,0.1,8.4,0.068,4.69,,,,
T,2019-08-27 00:49:57,41.941966647,-87.645242354,639.1,0.1,341.6,0.068,1.22,1,,,
T,2019-08-28 21:44:18,41.942027165,-87.645065747,484.6,,,0.077,52.87,,,,
T,2019-08-28 23:26:02,41.959966281,-87.626971062,457.8,0.8,36.9,1.424,8183.14,,,,
T,2019-08-28 23:26:04,41.959920013,-87.626895877,456.2,7.9,129.6,1.428,26.50,,,,
T,2019-08-28 23:26:22,41.959982291,-87.626130777,454.6,6.9,83.8,1.463,209.33,,,,
T,2019-08-28 23:26:33,41.960053453,-87.625758620,464.1,5.6,75.6,1.480,104.49,,,,
T,2019-08-28 23:26:36,41.960064350,-87.625649571,476.7,5.9,82.3,1.485,29.92,,,,
T,2019-08-28 23:26:39,41.960083041,-87.625528621,487.7,6.6,78.3,1.490,33.60,,,,
T,2019-08-28 23:26:43,41.960119838,-87.625372214,498.8,6.6,72.4,1.497,44.60,,,,
T,2019-08-28 23:26:46,41.960140541,-87.625248162,509.8,6.8,77.4,1.503,34.57,,,,
T,2019-08-28 23:26:51,41.960160825,-87.625054289,520.8,6.3,82.0,1.512,53.25,,,,
T,2019-08-28 23:26:55,41.960175494,-87.624886902,530.3,6.8,83.3,1.519,45.84,,,,
T,2019-08-28 23:27:02,41.960207764,-87.624626225,541.3,6.1,80.5,1.531,71.87,,,,
T,2019-08-28 23:27:09,41.960243303,-87.624348365,552.4,6.5,80.2,1.544,76.68,,,,
T,2019-08-28 23:27:18,41.960287225,-87.623998420,563.4,6.4,80.4,1.560,96.52,,,,
T,2019-08-28 23:27:22,41.960301390,-87.623858359,571.3,5.7,82.3,1.566,38.44,,,,
T,2019-08-28 23:27:27,41.960321087,-87.623663731,558.7,6.3,82.2,1.575,53.42,,,,
T,2019-08-28 23:27:28,41.960324189,-87.623624587,579.2,6.3,83.9,1.577,10.71,,,,
T,2019-08-28 23:27:29,41.960328463,-87.623585193,579.2,6.4,81.7,1.578,10.83,,,,
T,2019-08-28 23:27:49,41.960422927,-87.622751445,587.1,6.8,81.3,1.616,229.37,,,,
T,2019-08-28 23:28:07,41.960513955,-87.622084916,593.4,6.1,79.6,1.647,184.30,,,,
T,2019-08-28 23:28:27,41.960649071,-87.621396175,599.7,5.7,75.2,1.678,193.69,,,,
T,2019-08-28 23:28:44,41.960811010,-87.620795276,602.9,6.1,70.1,1.707,173.76,,,,
T,2019-08-28 23:29:02,41.960960124,-87.620172165,601.3,5.9,72.2,1.736,177.98,,,,
T,2019-08-28 23:29:18,41.961193308,-87.619605800,601.3,6.5,61.0,1.765,175.93,,,,
T,2019-08-28 23:29:34,41.961424397,-87.619045302,602.9,6.4,61.0,1.794,174.16,,,,
T,2019-08-28 23:29:53,41.961694881,-87.618415151,601.3,6.2,60.0,1.826,197.71,,,,
T,2019-08-28 23:30:14,41.962026134,-87.617764631,604.4,6.0,55.6,1.862,214.19,,,,
T,2019-08-28 23:30:31,41.962326458,-87.617183682,606.0,6.7,55.2,1.893,192.21,,,,
T,2019-08-28 23:30:48,41.962679084,-87.616623770,607.6,6.9,49.7,1.926,199.26,,,,
T,2019-08-28 23:31:07,41.963036573,-87.615996469,602.9,6.7,52.5,1.961,214.66,,,,
T,2019-08-28 23:31:28,41.963403532,-87.615355421,606.0,6.2,52.4,1.998,219.73,,,,
T,2019-08-28 23:31:44,41.963720117,-87.614874467,606.0,6.5,48.5,2.026,174.41,,,,
T,2019-08-28 23:32:01,41.964091854,-87.614354119,607.6,6.8,46.1,2.059,195.91,,,,
T,2019-08-28 23:32:18,41.964472896,-87.613869980,607.6,6.7,43.4,2.090,191.36,,,,
T,2019-08-28 23:32:35,41.964787049,-87.613341920,604.4,6.4,51.3,2.120,183.66,,,,
T,2019-08-28 23:32:48,41.965092402,-87.613023994,606.0,6.4,37.7,2.144,140.92,,,,
T,2019-08-28 23:33:03,41.965450728,-87.612679331,607.6,6.3,35.6,2.170,160.74,,,,
T,2019-08-28 23:33:20,41.965869991,-87.612294182,609.2,6.5,34.3,2.200,185.24,,,,
T,2019-08-28 23:33:36,41.966269892,-87.611951027,607.6,6.4,32.5,2.229,173.05,,,,
T,2019-08-28 23:33:50,41.966627296,-87.611686913,606.0,6.3,28.8,2.253,148.74,,,,
T,2019-08-28 23:34:06,41.967038428,-87.611411652,604.4,6.2,26.5,2.281,167.48,,,,
T,2019-08-28 23:34:19,41.967228279,-87.611025246,604.4,5.7,56.5,2.302,125.82,,,,
T,2019-08-28 23:34:35,41.967127193,-87.610480925,604.4,5.6,104.0,2.327,152.55,,,,
T,2019-08-28 23:34:48,41.966878837,-87.610059148,602.9,6.7,128.4,2.351,146.11,,,,
T,2019-08-28 23:35:01,41.966505423,-87.609807691,607.6,6.9,153.4,2.376,152.29,,,,
T,2019-08-28 23:35:15,41.966057578,-87.609808194,610.7,6.9,180.0,2.403,163.20,,,,
T,2019-08-28 23:35:19,41.965922043,-87.609798470,610.7,7.3,176.9,2.411,49.46,,,,
T,2019-08-28 23:35:32,41.965487190,-87.609860748,609.2,7.3,186.1,2.437,159.37,,,,
T,2019-08-28 23:35:46,41.965133976,-87.610011539,606.0,5.7,197.6,2.459,135.09,,,,
T,2019-08-28 23:36:00,41.964808339,-87.610189738,607.6,5.4,202.1,2.480,128.18,,,,
T,2019-08-28 23:36:16,41.964438027,-87.610420156,607.6,5.5,204.8,2.505,148.79,,,,
T,2019-08-28 23:36:32,41.964083556,-87.610704051,606.0,5.6,210.8,2.530,150.49,,,,
T,2019-08-28 23:36:43,41.963833272,-87.610931369,606.0,5.9,214.0,2.548,110.19,,,,
